record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
edge	futures-channel	0.3.32	registry	futures-core	0.3.32	registry	false	false	false
edge	futures-channel	0.3.32	registry	futures-sink	0.3.32	registry	false	false	false
edge	futures-util	0.3.32	registry	futures-core	0.3.32	registry	false	false	false
edge	futures-util	0.3.32	registry	futures-io	0.3.32	registry	false	false	false
edge	futures-util	0.3.32	registry	futures-sink	0.3.32	registry	false	false	false
edge	futures-util	0.3.32	registry	futures-task	0.3.32	registry	false	false	false
edge	futures-util	0.3.32	registry	memchr	2.8.0	registry	false	false	false
edge	futures-util	0.3.32	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	futures-util	0.3.32	registry	slab	0.4.12	registry	false	false	false
edge	getrandom	0.2.17	registry	cfg-if	1.0.4	registry	false	false	false
edge	getrandom	0.2.17	registry	libc	0.2.186	registry	false	false	false
edge	http	1.4.0	registry	bytes	1.11.1	registry	false	false	false
edge	http	1.4.0	registry	itoa	1.0.17	registry	false	false	false
edge	http-body	1.0.1	registry	bytes	1.11.1	registry	false	false	false
edge	http-body	1.0.1	registry	http	1.4.0	registry	false	false	false
edge	http-body-util	0.1.3	registry	bytes	1.11.1	registry	false	false	false
edge	http-body-util	0.1.3	registry	futures-core	0.3.32	registry	false	false	false
edge	http-body-util	0.1.3	registry	http	1.4.0	registry	false	false	false
edge	http-body-util	0.1.3	registry	http-body	1.0.1	registry	false	false	false
edge	http-body-util	0.1.3	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	hyper	1.8.1	registry	atomic-waker	1.1.2	registry	false	false	false
edge	hyper	1.8.1	registry	bytes	1.11.1	registry	false	false	false
edge	hyper	1.8.1	registry	futures-channel	0.3.32	registry	false	false	false
edge	hyper	1.8.1	registry	futures-core	0.3.32	registry	false	false	false
edge	hyper	1.8.1	registry	http	1.4.0	registry	false	false	false
edge	hyper	1.8.1	registry	http-body	1.0.1	registry	false	false	false
edge	hyper	1.8.1	registry	httparse	1.10.1	registry	false	false	false
edge	hyper	1.8.1	registry	itoa	1.0.17	registry	false	false	false
edge	hyper	1.8.1	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	hyper	1.8.1	registry	pin-utils	0.1.0	registry	false	false	false
edge	hyper	1.8.1	registry	smallvec	1.15.1	registry	false	false	false
edge	hyper	1.8.1	registry	tokio	1.52.3	registry	false	false	false
edge	hyper	1.8.1	registry	want	0.3.1	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	http	1.4.0	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	hyper	1.8.1	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	hyper-util	0.1.20	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	rustls	0.23.37	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	rustls-pki-types	1.14.0	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	tokio	1.52.3	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	tokio-rustls	0.26.4	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	tower-service	0.3.3	registry	false	false	false
edge	hyper-rustls	0.27.7	registry	webpki-roots	1.0.6	registry	false	false	false
edge	hyper-util	0.1.20	registry	base64	0.22.1	registry	false	false	false
edge	hyper-util	0.1.20	registry	bytes	1.11.1	registry	false	false	false
edge	hyper-util	0.1.20	registry	futures-channel	0.3.32	registry	false	false	false
edge	hyper-util	0.1.20	registry	futures-util	0.3.32	registry	false	false	false
edge	hyper-util	0.1.20	registry	http	1.4.0	registry	false	false	false
edge	hyper-util	0.1.20	registry	http-body	1.0.1	registry	false	false	false
edge	hyper-util	0.1.20	registry	hyper	1.8.1	registry	false	false	false
edge	hyper-util	0.1.20	registry	ipnet	2.11.0	registry	false	false	false
