record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
package				toml_datetime	0.7.5+spec-1.1.0	registry	false	true	false
package				toml_datetime	1.0.0+spec-1.1.0	registry	true	false	false
package				toml_edit	0.23.10+spec-1.0.0	registry	false	true	false
package				toml_parser	1.0.9+spec-1.1.0	registry	true	true	false
package				toml_writer	1.0.6+spec-1.1.0	registry	true	false	false
package				tracing	0.1.44	registry	true	false	false
package				tracing-attributes	0.1.31	registry	false	true	false
package				tracing-core	0.1.36	registry	true	false	false
package				tracing-log	0.2.0	registry	true	false	false
package				tracing-serde	0.2.0	registry	true	false	false
package				tracing-subscriber	0.3.22	registry	true	false	false
package				tryhard	0.5.2	registry	true	false	false
package				typeid	1.0.3	registry	true	false	false
package				typenum	1.19.0	registry	true	false	false
package				unicode-ident	1.0.24	registry	false	true	false
package				unicode-segmentation	1.12.0	registry	false	true	false
package				unicode-xid	0.2.6	registry	false	true	false
package				untrusted	0.9.0	registry	true	false	false
package				unty	0.0.4	registry	true	false	false
package				url	2.5.8	registry	true	false	false
package				utf8_iter	1.0.4	registry	true	false	false
package				utf8parse	0.2.2	registry	true	false	false
package				uuid	1.22.0	registry	true	false	false
package				variadics_please	1.1.0	registry	false	true	false
package				vcpkg	0.2.15	registry	true	false	false
package				version_check	0.9.5	registry	true	false	false
package				virtue	0.0.18	registry	false	true	false
package				webpki-roots	0.26.11	registry	true	false	false
package				webpki-roots	1.0.6	registry	true	false	false
package				winnow	0.7.14	registry	true	true	false
package				writeable	0.6.2	registry	true	false	false
package				yoke	0.8.1	registry	true	false	false
package				yoke-derive	0.8.1	registry	false	true	false
package				zerocopy	0.8.40	registry	true	false	false
package				zerofrom	0.1.6	registry	true	false	false
package				zerofrom-derive	0.1.6	registry	false	true	false
package				zeroize	1.8.2	registry	true	false	false
package				zerotrie	0.2.3	registry	true	false	false
package				zerovec	0.11.5	registry	true	false	false
package				zerovec-derive	0.11.2	registry	false	true	false
package				zmij	1.0.21	registry	true	false	false
edge	aho-corasick	1.1.4	registry	memchr	2.8.0	registry	false	false	false
edge	anstream	0.6.21	registry	anstyle	1.0.13	registry	false	false	false
edge	anstream	0.6.21	registry	anstyle-parse	0.2.7	registry	false	false	false
edge	anstream	0.6.21	registry	anstyle-query	1.1.5	registry	false	false	false
edge	anstream	0.6.21	registry	colorchoice	1.0.4	registry	false	false	false
edge	anstream	0.6.21	registry	is_terminal_polyfill	1.70.2	registry	false	false	false
edge	anstream	0.6.21	registry	utf8parse	0.2.2	registry	false	false	false
edge	anstyle-parse	0.2.7	registry	utf8parse	0.2.2	registry	false	false	false
edge	assert_type_match	0.1.1	registry	proc-macro2	1.0.106	registry	false	false	false
edge	assert_type_match	0.1.1	registry	quote	1.0.44	registry	false	false	false
edge	assert_type_match	0.1.1	registry	syn	2.0.117	registry	false	false	false
edge	async-executor	1.14.0	registry	async-task	4.7.1	registry	false	false	false
edge	async-executor	1.14.0	registry	concurrent-queue	2.5.0	registry	false	false	false
edge	async-executor	1.14.0	registry	fastrand	2.3.0	registry	false	false	false
edge	async-executor	1.14.0	registry	futures-lite	2.6.1	registry	false	false	false
edge	async-executor	1.14.0	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	async-executor	1.14.0	registry	slab	0.4.12	registry	false	false	false
edge	async-nats	0.47.0	registry	base64	0.22.1	registry	false	false	false
edge	async-nats	0.47.0	registry	bytes	1.11.1	registry	false	false	false
edge	async-nats	0.47.0	registry	futures-util	0.3.32	registry	false	false	false
edge	async-nats	0.47.0	registry	memchr	2.8.0	registry	false	false	false
edge	async-nats	0.47.0	registry	nkeys	0.4.5	registry	false	false	false
edge	async-nats	0.47.0	registry	nuid	0.5.0	registry	false	false	false
edge	async-nats	0.47.0	registry	pin-project	1.1.10	registry	false	false	false
edge	async-nats	0.47.0	registry	portable-atomic	1.13.1	registry	false	false	false
edge	async-nats	0.47.0	registry	rand	0.8.6	registry	false	false	false
edge	async-nats	0.47.0	registry	regex	1.12.3	registry	false	false	false
edge	async-nats	0.47.0	registry	ring	0.17.14	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-native-certs	0.8.3	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-pki-types	1.14.0	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-webpki	0.103.13	registry	false	false	false
edge	async-nats	0.47.0	registry	serde	1.0.228	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_json	1.0.149	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_nanos	0.1.4	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_repr	0.1.20	registry	false	false	false
edge	async-nats	0.47.0	registry	thiserror	1.0.69	registry	false	false	false
edge	async-nats	0.47.0	registry	time	0.3.47	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio	1.52.3	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-rustls	0.26.4	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-stream	0.1.18	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-util	0.7.18	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-websockets	0.10.1	registry	false	false	false
edge	async-nats	0.47.0	registry	tracing	0.1.44	registry	false	false	false
edge	async-nats	0.47.0	registry	tryhard	0.5.2	registry	false	false	false
edge	async-nats	0.47.0	registry	url	2.5.8	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_ecs_macros	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_platform	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_ptr	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_reflect	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_tasks	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bevy_utils	0.18.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bitflags	2.11.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	bumpalo	3.20.2	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	concurrent-queue	2.5.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	derive_more	2.1.1	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	fixedbitset	0.5.7	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	indexmap	2.14.0	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	log	0.4.29	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	nonmax	0.5.5	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	slotmap	1.1.1	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	smallvec	1.15.1	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	thiserror	2.0.18	registry	false	false	false
edge	bevy_ecs	0.18.1	registry	variadics_please	1.1.0	registry	false	false	false
edge	bevy_ecs_macros	0.18.0	registry	bevy_macro_utils	0.18.0	registry	false	false	false
edge	bevy_ecs_macros	0.18.0	registry	proc-macro2	1.0.106	registry	false	false	false
edge	bevy_ecs_macros	0.18.0	registry	quote	1.0.44	registry	false	false	false
edge	bevy_ecs_macros	0.18.0	registry	syn	2.0.117	registry	false	false	false
edge	bevy_macro_utils	0.18.0	registry	proc-macro2	1.0.106	registry	false	false	false
edge	bevy_macro_utils	0.18.0	registry	quote	1.0.44	registry	false	false	false
edge	bevy_macro_utils	0.18.0	registry	syn	2.0.117	registry	false	false	false
edge	bevy_macro_utils	0.18.0	registry	toml_edit	0.23.10+spec-1.0.0	registry	false	false	false
edge	bevy_platform	0.18.0	registry	foldhash	0.2.0	registry	false	false	false
edge	bevy_platform	0.18.0	registry	hashbrown	0.16.1	registry	false	false	false
edge	bevy_platform	0.18.0	registry	serde	1.0.228	registry	false	false	false
edge	bevy_platform	0.18.0	registry	spin	0.10.1	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	assert_type_match	0.1.1	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	bevy_platform	0.18.0	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	bevy_ptr	0.18.0	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	bevy_reflect_derive	0.18.0	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	bevy_utils	0.18.0	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	derive_more	2.1.1	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	disqualified	1.0.0	registry	false	false	false
edge	bevy_reflect	0.18.0	registry	downcast-rs	2.0.2	registry	false	false	false
