record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
edge	assert_type_match	0.1.1	registry	syn	2.0.117	registry	false	false	false
edge	async-executor	1.14.0	registry	async-task	4.7.1	registry	false	false	false
edge	async-executor	1.14.0	registry	concurrent-queue	2.5.0	registry	false	false	false
edge	async-executor	1.14.0	registry	fastrand	2.3.0	registry	false	false	false
edge	async-executor	1.14.0	registry	futures-lite	2.6.1	registry	false	false	false
edge	async-executor	1.14.0	registry	pin-project-lite	0.2.16	registry	false	false	false
edge	async-executor	1.14.0	registry	slab	0.4.12	registry	false	false	false
edge	async-nats	0.47.0	registry	base64	0.22.1	registry	false	false	false
edge	async-nats	0.47.0	registry	bytes	1.11.1	registry	false	false	false
edge	async-nats	0.47.0	registry	futures-util	0.3.32	registry	false	false	false
edge	async-nats	0.47.0	registry	memchr	2.8.0	registry	false	false	false
edge	async-nats	0.47.0	registry	nkeys	0.4.5	registry	false	false	false
edge	async-nats	0.47.0	registry	nuid	0.5.0	registry	false	false	false
edge	async-nats	0.47.0	registry	pin-project	1.1.10	registry	false	false	false
edge	async-nats	0.47.0	registry	portable-atomic	1.13.1	registry	false	false	false
edge	async-nats	0.47.0	registry	rand	0.8.6	registry	false	false	false
edge	async-nats	0.47.0	registry	regex	1.12.3	registry	false	false	false
edge	async-nats	0.47.0	registry	ring	0.17.14	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-native-certs	0.8.3	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-pki-types	1.14.0	registry	false	false	false
edge	async-nats	0.47.0	registry	rustls-webpki	0.103.13	registry	false	false	false
edge	async-nats	0.47.0	registry	serde	1.0.228	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_json	1.0.149	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_nanos	0.1.4	registry	false	false	false
edge	async-nats	0.47.0	registry	serde_repr	0.1.20	registry	false	false	false
edge	async-nats	0.47.0	registry	thiserror	1.0.69	registry	false	false	false
edge	async-nats	0.47.0	registry	time	0.3.47	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio	1.52.3	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-rustls	0.26.4	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-stream	0.1.18	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-util	0.7.18	registry	false	false	false
edge	async-nats	0.47.0	registry	tokio-websockets	0.10.1	registry	false	false	false
edge	async-nats	0.47.0	registry	tracing	0.1.44	registry	false	false	false
edge	async-nats	0.47.0	registry	tryhard	0.5.2	registry	false	false	false
edge	async-nats	0.47.0	registry	url	2.5.8	registry	false	false	false
edge	aws-lc-rs	1.17.0	registry	aws-lc-sys	0.41.0	registry	false	false	false
edge	aws-lc-rs	1.17.0	registry	zeroize	1.8.2	registry	false	false	false
edge	aws-lc-sys	0.41.0	registry	cc	1.2.56	registry	false	false	false
edge	aws-lc-sys	0.41.0	registry	cmake	0.1.58	registry	false	false	false
edge	aws-lc-sys	0.41.0	registry	dunce	1.0.5	registry	false	false	false
edge	aws-lc-sys	0.41.0	registry	fs_extra	1.3.0	registry	false	false	false
edge	axum	0.8.9	registry	axum-core	0.5.6	registry	false	false	false
edge	axum	0.8.9	registry	bytes	1.11.1	registry	false	false	false
edge	axum	0.8.9	registry	form_urlencoded	1.2.2	registry	false	false	false
edge	axum	0.8.9	registry	futures-util	0.3.32	registry	false	false	false
edge	axum	0.8.9	registry	http	1.4.0	registry	false	false	false
edge	axum	0.8.9	registry	http-body	1.0.1	registry	false	false	false
edge	axum	0.8.9	registry	http-body-util	0.1.3	registry	false	false	false
edge	axum	0.8.9	registry	hyper	1.8.1	registry	false	false	false
