Linux 6.17.0-35-generic (sentinel-ubuntu-2404) 	06/10/26 	_x86_64_	(8 CPU)

18:02:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:02:52     all   11.12    0.00    1.62    0.00    0.00    0.00    0.00    0.00    0.00   87.25
18:02:53     all   12.27    0.00    0.38    0.00    0.00    0.00    0.13    0.00    0.00   87.23
18:02:54     all   12.11    0.00    0.62    0.00    0.00    0.00    0.12    0.00    0.00   87.14
18:02:55     all   12.16    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   87.47
18:02:56     all   12.17    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   87.45
18:02:57     all   12.09    0.00    0.75    0.12    0.00    0.00    0.00    0.00    0.00   87.03
18:02:58     all   12.03    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   87.34
18:02:59     all   12.36    0.00    0.25    0.00    0.00    0.00    0.12    0.00    0.00   87.27
18:03:00     all   12.25    0.00    0.62    1.38    0.00    0.00    0.00    0.00    0.00   85.75
