Linux 6.17.0-35-generic (sentinel-ubuntu-2404) 	06/10/26 	_x86_64_	(8 CPU)

17:59:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:01:02     all    6.12    0.00    0.38    6.12    0.00    0.00    0.00    0.00    0.00   87.38
18:01:03     all    1.25    0.00    0.38   12.52    0.00    0.00    0.00    0.00    0.00   85.86
18:01:04     all    0.75    0.00    0.12   11.99    0.00    0.00    0.00    0.00    0.00   87.14
18:01:05     all    0.75    0.00    0.13   11.78    0.00    0.00    0.00    0.00    0.00   87.34
18:01:06     all    0.00    0.00    0.00   12.52    0.00    0.00    0.00    0.00    0.00   87.48
18:01:07     all    0.13    0.00    0.13   12.41    0.00    0.00    0.00    0.00    0.00   87.34
18:01:08     all    0.00    0.00    0.38   18.40    0.00    0.00    0.00    0.00    0.00   81.23
18:01:09     all    0.88    0.00    0.25   12.28    0.00    0.00    0.00    0.00    0.00   86.59
18:01:10     all    0.00    0.00    0.13   13.53    0.00    0.00    0.00    0.00    0.00   86.34
18:01:11     all    0.25    0.00    0.00   28.59    0.00    0.00    0.00    0.00    0.00   71.16
18:01:12     all    0.13    0.00    0.00   51.94    0.00    0.00    0.00    0.00    0.00   47.93
18:01:13     all    0.88    0.00    0.00   14.27    0.00    0.00    0.00    0.00    0.00   84.86
18:01:14     all    0.00    0.00    0.25   16.90    0.00    0.00    0.00    0.00    0.00   82.85
18:01:15     all    1.00    0.00    0.13   12.78    0.00    0.00    0.00    0.00    0.00   86.09
