parent_name	parent_version	child_name	child_version	edge_contexts	cargo_all_targets_active
cranelift-codegen-meta	0.132.3	pulley-interpreter	45.0.3	normal:all	true
cranelift-control	0.132.3	arbitrary	1.4.2	normal:all	true
cranelift-entity	0.132.3	cranelift-bitset	0.132.3	normal:all	true
cranelift-entity	0.132.3	serde	1.0.228	normal:all	true
cranelift-entity	0.132.3	serde_derive	1.0.228	normal:all	true
cranelift-entity	0.132.3	wasmtime-internal-core	45.0.3	normal:all	true
cranelift-frontend	0.132.3	cranelift-codegen	0.132.3	normal:all	true
cranelift-frontend	0.132.3	log	0.4.29	normal:all	true
cranelift-frontend	0.132.3	smallvec	1.15.1	normal:all	true
cranelift-frontend	0.132.3	target-lexicon	0.13.5	normal:all	true
cranelift-native	0.132.3	cranelift-codegen	0.132.3	normal:all	true
cranelift-native	0.132.3	libc	0.2.186	"normal:cfg(target_arch = ""riscv64"")"	true
cranelift-native	0.132.3	target-lexicon	0.13.5	normal:all	true
crc32fast	1.5.0	cfg-if	1.0.4	normal:all	true
criterion	0.5.1	anes	0.1.6	normal:all	true
criterion	0.5.1	cast	0.3.0	normal:all	true
criterion	0.5.1	ciborium	0.2.2	normal:all	true
criterion	0.5.1	clap	4.5.60	normal:all	true
criterion	0.5.1	criterion-plot	0.5.0	normal:all	true
criterion	0.5.1	futures	0.3.32	normal:all	true
criterion	0.5.1	is-terminal	0.4.17	normal:all	true
criterion	0.5.1	itertools	0.10.5	normal:all	true
criterion	0.5.1	num-traits	0.2.19	normal:all	true
criterion	0.5.1	once_cell	1.21.3	normal:all	true
criterion	0.5.1	oorandom	11.1.5	normal:all	true
criterion	0.5.1	plotters	0.3.7	normal:all	true
criterion	0.5.1	rayon	1.11.0	normal:all	true
criterion	0.5.1	regex	1.12.3	normal:all	true
criterion	0.5.1	serde	1.0.228	normal:all	true
criterion	0.5.1	serde_derive	1.0.228	normal:all	true
criterion	0.5.1	serde_json	1.0.149	normal:all	true
criterion	0.5.1	tinytemplate	1.2.1	normal:all	true
criterion	0.5.1	tokio	1.52.3	normal:all	true
criterion	0.5.1	walkdir	2.5.0	normal:all	true
criterion	0.8.2	alloca	0.4.0	normal:cfg(any(windows, unix))	true
criterion	0.8.2	anes	0.1.6	normal:all	true
criterion	0.8.2	cast	0.3.0	normal:all	true
criterion	0.8.2	ciborium	0.2.2	normal:all	true
criterion	0.8.2	clap	4.5.60	normal:all	true
criterion	0.8.2	criterion-plot	0.8.2	normal:all	true
criterion	0.8.2	itertools	0.13.0	normal:all	true
criterion	0.8.2	num-traits	0.2.19	normal:all	true
criterion	0.8.2	oorandom	11.1.5	normal:all	true
criterion	0.8.2	page_size	0.6.0	normal:all	true
criterion	0.8.2	plotters	0.3.7	normal:all	true
criterion	0.8.2	rayon	1.11.0	normal:all	true
criterion	0.8.2	regex	1.12.3	normal:all	true
criterion	0.8.2	serde	1.0.228	normal:all	true
criterion	0.8.2	serde_json	1.0.149	normal:all	true
criterion	0.8.2	tinytemplate	1.2.1	normal:all	true
criterion	0.8.2	walkdir	2.5.0	normal:all	true
criterion-plot	0.5.0	cast	0.3.0	normal:all	true
criterion-plot	0.5.0	itertools	0.10.5	normal:all	true
criterion-plot	0.8.2	cast	0.3.0	normal:all	true
criterion-plot	0.8.2	itertools	0.13.0	normal:all	true
crossbeam	0.8.4	crossbeam-channel	0.5.15	normal:all	true
crossbeam	0.8.4	crossbeam-deque	0.8.6	normal:all	true
crossbeam	0.8.4	crossbeam-epoch	0.9.20	normal:all	true
crossbeam	0.8.4	crossbeam-queue	0.3.12	normal:all	true
crossbeam	0.8.4	crossbeam-utils	0.8.21	normal:all	true
crossbeam-channel	0.5.15	crossbeam-utils	0.8.21	normal:all	true
crossbeam-deque	0.8.6	crossbeam-epoch	0.9.20	normal:all	true
crossbeam-deque	0.8.6	crossbeam-utils	0.8.21	normal:all	true
crossbeam-epoch	0.9.20	crossbeam-utils	0.8.21	normal:all	true
crossbeam-queue	0.3.12	crossbeam-utils	0.8.21	normal:all	true
crypto-common	0.1.7	generic-array	0.14.7	normal:all	true
crypto-common	0.1.7	typenum	1.19.0	normal:all	true
curve25519-dalek	4.1.3	cfg-if	1.0.4	normal:all	true
curve25519-dalek	4.1.3	cpufeatures	0.2.17	"normal:cfg(target_arch = ""x86_64"")"	true
curve25519-dalek	4.1.3	curve25519-dalek-derive	0.1.1	"normal:cfg(all(not(curve25519_dalek_backend = ""fiat""), not(curve25519_dalek_backend = ""serial""), target_arch = ""x86_64""))"	true
curve25519-dalek	4.1.3	digest	0.10.7	normal:all	true
curve25519-dalek	4.1.3	fiat-crypto	0.2.9	"normal:cfg(curve25519_dalek_backend = ""fiat"")"	true
curve25519-dalek	4.1.3	rustc_version	0.4.1	build:all	true
curve25519-dalek	4.1.3	subtle	2.6.1	normal:all	true
curve25519-dalek-derive	0.1.1	proc-macro2	1.0.106	normal:all	true
curve25519-dalek-derive	0.1.1	quote	1.0.44	normal:all	true
curve25519-dalek-derive	0.1.1	syn	2.0.117	normal:all	true
darling	0.21.3	darling_core	0.21.3	normal:all	true
darling	0.21.3	darling_macro	0.21.3	normal:all	true
darling_core	0.21.3	fnv	1.0.7	normal:all	true
darling_core	0.21.3	ident_case	1.0.1	normal:all	true
darling_core	0.21.3	proc-macro2	1.0.106	normal:all	true
darling_core	0.21.3	quote	1.0.44	normal:all	true
darling_core	0.21.3	strsim	0.11.1	normal:all	true
darling_core	0.21.3	syn	2.0.117	normal:all	true
darling_macro	0.21.3	darling_core	0.21.3	normal:all	true
darling_macro	0.21.3	quote	1.0.44	normal:all	true
darling_macro	0.21.3	syn	2.0.117	normal:all	true
debugid	0.8.0	uuid	1.22.0	normal:all	true
der	0.7.10	const-oid	0.9.6	normal:all	true
der	0.7.10	pem-rfc7468	0.7.0	normal:all	true
der	0.7.10	zeroize	1.8.2	normal:all	true
der-parser	10.0.0	asn1-rs	0.7.1	normal:all	true
der-parser	10.0.0	displaydoc	0.2.5	normal:all	true
der-parser	10.0.0	nom	7.1.3	normal:all	true
der-parser	10.0.0	num-bigint	0.4.6	normal:all	true
der-parser	10.0.0	num-traits	0.2.19	normal:all	true
der-parser	10.0.0	rusticata-macros	4.1.0	normal:all	true
deranged	0.5.8	powerfmt	0.2.0	normal:all	true
deranged	0.5.8	serde_core	1.0.228	normal:all	true
derive_more	2.1.1	derive_more-impl	2.1.1	normal:all	true
derive_more-impl	2.1.1	convert_case	0.10.0	normal:all	true
derive_more-impl	2.1.1	proc-macro2	1.0.106	normal:all	true
derive_more-impl	2.1.1	quote	1.0.44	normal:all	true
derive_more-impl	2.1.1	rustc_version	0.4.1	build:all	true
derive_more-impl	2.1.1	syn	2.0.117	normal:all	true
derive_more-impl	2.1.1	unicode-xid	0.2.6	normal:all	true
digest	0.10.7	block-buffer	0.10.4	normal:all	true
digest	0.10.7	const-oid	0.9.6	normal:all	true
digest	0.10.7	crypto-common	0.1.7	normal:all	true
digest	0.10.7	subtle	2.6.1	normal:all	true
directories-next	2.0.0	cfg-if	1.0.4	normal:all	true
directories-next	2.0.0	dirs-sys-next	0.1.2	normal:all	true
dirs	6.0.0	dirs-sys	0.5.0	normal:all	true
dirs-sys	0.5.0	libc	0.2.186	normal:cfg(unix)	true
dirs-sys	0.5.0	option-ext	0.2.0	normal:all	true
dirs-sys	0.5.0	redox_users	0.5.2	"normal:cfg(target_os = ""redox"")"	true
dirs-sys	0.5.0	windows-sys	0.61.2	normal:cfg(windows)	true
dirs-sys-next	0.1.2	libc	0.2.186	normal:cfg(unix)	true
dirs-sys-next	0.1.2	redox_users	0.4.6	"normal:cfg(target_os = ""redox"")"	true
dirs-sys-next	0.1.2	winapi	0.3.9	normal:cfg(windows)	true
displaydoc	0.2.5	proc-macro2	1.0.106	normal:all	true
displaydoc	0.2.5	quote	1.0.44	normal:all	true
displaydoc	0.2.5	syn	2.0.117	normal:all	true
ed25519	2.2.3	signature	2.2.0	normal:all	true
ed25519-dalek	2.2.0	curve25519-dalek	4.1.3	normal:all	true
ed25519-dalek	2.2.0	ed25519	2.2.3	normal:all	true
ed25519-dalek	2.2.0	sha2	0.10.9	normal:all	true
ed25519-dalek	2.2.0	signature	2.2.0	normal:all	true
ed25519-dalek	2.2.0	subtle	2.6.1	normal:all	true
encoding_rs	0.8.35	cfg-if	1.0.4	normal:all	true
enumflags2	0.7.12	enumflags2_derive	0.7.12	normal:all	true
enumflags2_derive	0.7.12	proc-macro2	1.0.106	normal:all	true
enumflags2_derive	0.7.12	quote	1.0.44	normal:all	true
enumflags2_derive	0.7.12	syn	2.0.117	normal:all	true
erased-serde	0.4.9	serde	1.0.228	normal:cfg(any())	true
erased-serde	0.4.9	serde_core	1.0.228	normal:all	true
erased-serde	0.4.9	typeid	1.0.3	normal:all	true
errno	0.3.14	libc	0.2.186	"normal:cfg(target_os = ""hermit"");normal:cfg(target_os = ""wasi"");normal:cfg(unix)"	true
errno	0.3.14	windows-sys	0.61.2	normal:cfg(windows)	true
event-listener	5.4.1	concurrent-queue	2.5.0	normal:all	true
event-listener	5.4.1	parking	2.2.1	"normal:cfg(not(target_family = ""wasm""))"	true
event-listener	5.4.1	pin-project-lite	0.2.16	normal:all	true
event-listener-strategy	0.5.4	event-listener	5.4.1	normal:all	true
event-listener-strategy	0.5.4	pin-project-lite	0.2.16	normal:all	true
fastbloom	0.14.1	getrandom	0.3.4	normal:all	true
fastbloom	0.14.1	libm	0.2.16	normal:all	true
fastbloom	0.14.1	rand	0.9.4	normal:all	true
fastbloom	0.14.1	siphasher	1.0.2	normal:all	true
flatbuffers	25.12.19	bitflags	2.11.0	normal:all	true
flatbuffers	25.12.19	rustc_version	0.4.1	build:all	true
flate2	1.1.9	crc32fast	1.5.0	normal:all	true
flate2	1.1.9	miniz_oxide	0.8.9	"normal:all;normal:cfg(all(target_arch = ""wasm32"", not(target_os = ""emscripten"")))"	true
flume	0.11.1	futures-core	0.3.32	normal:all	true
flume	0.11.1	futures-sink	0.3.32	normal:all	true
flume	0.11.1	nanorand	0.7.0	normal:all	true
flume	0.11.1	spin	0.9.9	normal:all	true
form_urlencoded	1.2.2	percent-encoding	2.3.2	normal:all	true
fs-err	3.3.0	autocfg	1.5.0	build:all	true
fs-err	3.3.0	tokio	1.52.3	normal:all	true
fs-set-times	0.20.3	io-lifetimes	2.0.4	normal:all	true
fs-set-times	0.20.3	rustix	1.1.4	normal:cfg(not(windows))	true
fs-set-times	0.20.3	windows-sys	0.59.0	normal:cfg(windows)	true
fs2	0.4.3	libc	0.2.186	normal:cfg(unix)	true
fs2	0.4.3	winapi	0.3.9	normal:cfg(windows)	true
fuser	0.17.0	bitflags	2.11.0	normal:all	true
fuser	0.17.0	libc	0.2.186	normal:all	true
fuser	0.17.0	log	0.4.29	normal:all	true
fuser	0.17.0	memchr	2.8.0	normal:all	true
fuser	0.17.0	nix	0.30.1	normal:all	true
fuser	0.17.0	num_enum	0.7.5	normal:all	true
fuser	0.17.0	page_size	0.6.0	normal:all	true
fuser	0.17.0	parking_lot	0.12.5	normal:all	true
fuser	0.17.0	pkg-config	0.3.32	build:all	true
fuser	0.17.0	ref-cast	1.0.25	normal:all	true
fuser	0.17.0	smallvec	1.15.1	normal:all	true
fuser	0.17.0	zerocopy	0.8.40	normal:all	true
futures	0.3.32	futures-channel	0.3.32	normal:all	true
futures	0.3.32	futures-core	0.3.32	normal:all	true
futures	0.3.32	futures-executor	0.3.32	normal:all	true
futures	0.3.32	futures-io	0.3.32	normal:all	true
futures	0.3.32	futures-sink	0.3.32	normal:all	true
futures	0.3.32	futures-task	0.3.32	normal:all	true
futures	0.3.32	futures-util	0.3.32	normal:all	true
futures-channel	0.3.32	futures-core	0.3.32	normal:all	true
futures-channel	0.3.32	futures-sink	0.3.32	normal:all	true
futures-executor	0.3.32	futures-core	0.3.32	normal:all	true
futures-executor	0.3.32	futures-task	0.3.32	normal:all	true
futures-executor	0.3.32	futures-util	0.3.32	normal:all	true
futures-lite	2.6.1	fastrand	2.3.0	normal:all	true
futures-lite	2.6.1	futures-core	0.3.32	normal:all	true
futures-lite	2.6.1	futures-io	0.3.32	normal:all	true
futures-lite	2.6.1	parking	2.2.1	normal:all	true
futures-lite	2.6.1	pin-project-lite	0.2.16	normal:all	true
futures-macro	0.3.32	proc-macro2	1.0.106	normal:all	true
futures-macro	0.3.32	quote	1.0.44	normal:all	true
futures-macro	0.3.32	syn	2.0.117	normal:all	true
futures-util	0.3.32	futures-channel	0.3.32	normal:all	true
futures-util	0.3.32	futures-core	0.3.32	normal:all	true
futures-util	0.3.32	futures-io	0.3.32	normal:all	true
futures-util	0.3.32	futures-macro	0.3.32	normal:all	true
futures-util	0.3.32	futures-sink	0.3.32	normal:all	true
futures-util	0.3.32	futures-task	0.3.32	normal:all	true
futures-util	0.3.32	memchr	2.8.0	normal:all	true
futures-util	0.3.32	pin-project-lite	0.2.16	normal:all	true
futures-util	0.3.32	slab	0.4.12	normal:all	true
fxprof-processed-profile	0.8.1	bitflags	2.11.0	normal:all	true
fxprof-processed-profile	0.8.1	debugid	0.8.0	normal:all	true
fxprof-processed-profile	0.8.1	rustc-hash	2.1.1	normal:all	true
fxprof-processed-profile	0.8.1	serde	1.0.228	normal:all	true
fxprof-processed-profile	0.8.1	serde_derive	1.0.228	normal:all	true
fxprof-processed-profile	0.8.1	serde_json	1.0.149	normal:all	true
generic-array	0.14.7	typenum	1.19.0	normal:all	true
generic-array	0.14.7	version_check	0.9.5	build:all	true
getrandom	0.2.17	cfg-if	1.0.4	normal:all	true
getrandom	0.2.17	js-sys	0.3.90	"normal:cfg(all(any(target_arch = ""wasm32"", target_arch = ""wasm64""), target_os = ""unknown""))"	true
getrandom	0.2.17	libc	0.2.186	normal:cfg(unix)	true
getrandom	0.2.17	wasi	0.11.1+wasi-snapshot-preview1	"normal:cfg(target_os = ""wasi"")"	true
getrandom	0.2.17	wasm-bindgen	0.2.113	"normal:cfg(all(any(target_arch = ""wasm32"", target_arch = ""wasm64""), target_os = ""unknown""))"	true
getrandom	0.3.4	cfg-if	1.0.4	normal:all	true
getrandom	0.3.4	js-sys	0.3.90	"normal:cfg(all(target_arch = ""wasm32"", any(target_os = ""unknown"", target_os = ""none""), target_feature = ""atomics""))"	true
getrandom	0.3.4	libc	0.2.186	"normal:cfg(all(any(target_os = ""linux"", target_os = ""android""), not(any(all(target_os = ""linux"", target_env = """"), getrandom_backend = ""custom"", getrandom_backend = ""linux_raw"", getrandom_backend = ""rdrand"", getrandom_backend = ""rndr""))));normal:cfg(any(target_os = ""dragonfly"", target_os = ""freebsd"", target_os = ""hurd"", target_os = ""illumos"", target_os = ""cygwin"", all(target_os = ""horizon"", target_arch = ""arm"")));normal:cfg(any(target_os = ""haiku"", target_os = ""redox"", target_os = ""nto"", target_os = ""aix""));normal:cfg(any(target_os = ""ios"", target_os = ""visionos"", target_os = ""watchos"", target_os = ""tvos""));normal:cfg(any(target_os = ""macos"", target_os = ""openbsd"", target_os = ""vita"", target_os = ""emscripten""));normal:cfg(target_os = ""netbsd"");normal:cfg(target_os = ""solaris"");normal:cfg(target_os = ""vxworks"")"	true
getrandom	0.3.4	r-efi	5.3.0	"normal:cfg(all(target_os = ""uefi"", getrandom_backend = ""efi_rng""))"	true
getrandom	0.3.4	wasip2	1.0.2+wasi-0.2.9	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""wasi"", target_env = ""p2""))"	true
getrandom	0.3.4	wasm-bindgen	0.2.113	"normal:cfg(all(target_arch = ""wasm32"", any(target_os = ""unknown"", target_os = ""none"")))"	true
getrandom	0.4.1	cfg-if	1.0.4	normal:all	true
getrandom	0.4.1	libc	0.2.186	"normal:cfg(all(any(target_os = ""linux"", target_os = ""android""), not(any(all(target_os = ""linux"", target_env = """"), getrandom_backend = ""custom"", getrandom_backend = ""linux_raw"", getrandom_backend = ""rdrand"", getrandom_backend = ""rndr""))));normal:cfg(any(target_os = ""dragonfly"", target_os = ""freebsd"", target_os = ""hurd"", target_os = ""illumos"", target_os = ""cygwin"", all(target_os = ""horizon"", target_arch = ""arm"")));normal:cfg(any(target_os = ""haiku"", target_os = ""redox"", target_os = ""nto"", target_os = ""aix""));normal:cfg(any(target_os = ""ios"", target_os = ""visionos"", target_os = ""watchos"", target_os = ""tvos""));normal:cfg(any(target_os = ""macos"", target_os = ""openbsd"", target_os = ""vita"", target_os = ""emscripten""));normal:cfg(target_os = ""netbsd"");normal:cfg(target_os = ""solaris"");normal:cfg(target_os = ""vxworks"")"	true
getrandom	0.4.1	r-efi	5.3.0	"normal:cfg(all(target_os = ""uefi"", getrandom_backend = ""efi_rng""))"	true
getrandom	0.4.1	rand_core	0.10.1	normal:all	true
getrandom	0.4.1	wasip2	1.0.2+wasi-0.2.9	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""wasi"", target_env = ""p2""))"	true
getrandom	0.4.1	wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""wasi"", target_env = ""p3""))"	true
gimli	0.33.0	fnv	1.0.7	normal:all	true
gimli	0.33.0	hashbrown	0.16.1	normal:all	true
gimli	0.33.0	indexmap	2.14.0	normal:all	true
gimli	0.33.0	stable_deref_trait	1.2.1	normal:all	false
git-version	0.3.9	git-version-macro	0.3.9	normal:all	true
git-version-macro	0.3.9	proc-macro2	1.0.106	normal:all	true
git-version-macro	0.3.9	quote	1.0.44	normal:all	true
git-version-macro	0.3.9	syn	2.0.117	normal:all	true
glam	0.30.10	serde_core	1.0.228	normal:all	false
h2	0.4.14	atomic-waker	1.1.2	normal:all	true
h2	0.4.14	bytes	1.11.1	normal:all	true
h2	0.4.14	fnv	1.0.7	normal:all	true
h2	0.4.14	futures-core	0.3.32	normal:all	true
h2	0.4.14	futures-sink	0.3.32	normal:all	true
h2	0.4.14	http	1.4.0	normal:all	true
h2	0.4.14	indexmap	2.14.0	normal:all	true
h2	0.4.14	slab	0.4.12	normal:all	true
h2	0.4.14	tokio	1.52.3	normal:all	true
h2	0.4.14	tokio-util	0.7.18	normal:all	true
h2	0.4.14	tracing	0.1.44	normal:all	true
half	2.7.1	cfg-if	1.0.4	normal:all	true
half	2.7.1	crunchy	0.2.4	"normal:cfg(target_arch = ""spirv"")"	true
half	2.7.1	zerocopy	0.8.40	normal:all	true
hash32	0.3.1	byteorder	1.5.0	normal:all	true
hashbrown	0.14.5	ahash	0.8.12	normal:all	true
hashbrown	0.14.5	allocator-api2	0.2.21	normal:all	true
hashbrown	0.15.5	foldhash	0.1.5	normal:all	true
hashbrown	0.16.1	allocator-api2	0.2.21	normal:all	true
hashbrown	0.16.1	equivalent	1.0.2	normal:all	true
hashbrown	0.16.1	foldhash	0.2.0	normal:all	true
hashbrown	0.16.1	serde	1.0.228	normal:cfg(any())	true
hashbrown	0.16.1	serde_core	1.0.228	normal:all	true
hashbrown	0.17.1	foldhash	0.2.0	normal:all	true
hashbrown	0.17.1	serde	1.0.228	normal:cfg(any())	false
hashbrown	0.17.1	serde_core	1.0.228	normal:all	false
hashlink	0.11.0	hashbrown	0.16.1	normal:all	true
heapless	0.9.2	hash32	0.3.1	normal:all	true
heapless	0.9.2	portable-atomic	1.13.1	normal:all	true
heapless	0.9.2	stable_deref_trait	1.2.1	"normal:cfg(any(target_arch = ""arm"", target_pointer_width = ""32"", target_pointer_width = ""64""))"	true
hmac	0.12.1	digest	0.10.7	normal:all	true
home	0.5.12	windows-sys	0.61.2	normal:cfg(windows)	true
http	1.4.0	bytes	1.11.1	normal:all	true
http	1.4.0	itoa	1.0.17	normal:all	true
http-body	1.0.1	bytes	1.11.1	normal:all	true
http-body	1.0.1	http	1.4.0	normal:all	true
http-body-util	0.1.3	bytes	1.11.1	normal:all	true
http-body-util	0.1.3	futures-core	0.3.32	normal:all	true
http-body-util	0.1.3	http	1.4.0	normal:all	true
http-body-util	0.1.3	http-body	1.0.1	normal:all	true
http-body-util	0.1.3	pin-project-lite	0.2.16	normal:all	true
hyper	1.8.1	atomic-waker	1.1.2	normal:all	true
hyper	1.8.1	bytes	1.11.1	normal:all	true
hyper	1.8.1	futures-channel	0.3.32	normal:all	true
hyper	1.8.1	futures-core	0.3.32	normal:all	true
hyper	1.8.1	h2	0.4.14	normal:all	true
hyper	1.8.1	http	1.4.0	normal:all	true
hyper	1.8.1	http-body	1.0.1	normal:all	true
hyper	1.8.1	httparse	1.10.1	normal:all	true
hyper	1.8.1	httpdate	1.0.3	normal:all	true
hyper	1.8.1	itoa	1.0.17	normal:all	true
hyper	1.8.1	pin-project-lite	0.2.16	normal:all	true
hyper	1.8.1	pin-utils	0.1.0	normal:all	true
hyper	1.8.1	smallvec	1.15.1	normal:all	true
hyper	1.8.1	tokio	1.52.3	normal:all	true
hyper	1.8.1	want	0.3.1	normal:all	true
hyper-rustls	0.27.7	http	1.4.0	normal:all	true
hyper-rustls	0.27.7	hyper	1.8.1	normal:all	true
hyper-rustls	0.27.7	hyper-util	0.1.20	normal:all	true
hyper-rustls	0.27.7	rustls	0.23.37	normal:all	true
hyper-rustls	0.27.7	rustls-pki-types	1.14.0	normal:all	true
hyper-rustls	0.27.7	tokio	1.52.3	normal:all	true
hyper-rustls	0.27.7	tokio-rustls	0.26.4	normal:all	true
hyper-rustls	0.27.7	tower-service	0.3.3	normal:all	true
hyper-rustls	0.27.7	webpki-roots	1.0.6	normal:all	true
hyper-util	0.1.20	base64	0.22.1	normal:all	true
hyper-util	0.1.20	bytes	1.11.1	normal:all	true
hyper-util	0.1.20	futures-channel	0.3.32	normal:all	true
hyper-util	0.1.20	futures-util	0.3.32	normal:all	true
hyper-util	0.1.20	http	1.4.0	normal:all	true
hyper-util	0.1.20	http-body	1.0.1	normal:all	true
hyper-util	0.1.20	hyper	1.8.1	normal:all	true
hyper-util	0.1.20	ipnet	2.11.0	normal:all	true
hyper-util	0.1.20	libc	0.2.186	normal:all	true
hyper-util	0.1.20	percent-encoding	2.3.2	normal:all	true
hyper-util	0.1.20	pin-project-lite	0.2.16	normal:all	true
hyper-util	0.1.20	socket2	0.6.4	normal:all	true
hyper-util	0.1.20	tokio	1.52.3	normal:all	true
hyper-util	0.1.20	tower-service	0.3.3	normal:all	true
hyper-util	0.1.20	tracing	0.1.44	normal:all	true
iana-time-zone	0.1.65	android_system_properties	0.1.5	"normal:cfg(target_os = ""android"")"	true
iana-time-zone	0.1.65	core-foundation-sys	0.8.7	"normal:cfg(target_vendor = ""apple"")"	true
iana-time-zone	0.1.65	iana-time-zone-haiku	0.1.2	"normal:cfg(target_os = ""haiku"")"	true
iana-time-zone	0.1.65	js-sys	0.3.90	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""unknown""))"	true
iana-time-zone	0.1.65	log	0.4.29	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""unknown""))"	true
iana-time-zone	0.1.65	wasm-bindgen	0.2.113	"normal:cfg(all(target_arch = ""wasm32"", target_os = ""unknown""))"	true
iana-time-zone	0.1.65	windows-core	0.62.2	"normal:cfg(target_os = ""windows"")"	true
iana-time-zone-haiku	0.1.2	cc	1.2.56	build:all	true
icu_collections	2.1.1	displaydoc	0.2.5	normal:all	true
icu_collections	2.1.1	potential_utf	0.1.4	normal:all	true
icu_collections	2.1.1	yoke	0.8.1	normal:all	true
icu_collections	2.1.1	zerofrom	0.1.6	normal:all	true
icu_collections	2.1.1	zerovec	0.11.5	normal:all	true
icu_locale_core	2.1.1	displaydoc	0.2.5	normal:all	true
icu_locale_core	2.1.1	litemap	0.8.1	normal:all	true
icu_locale_core	2.1.1	tinystr	0.8.2	normal:all	true
icu_locale_core	2.1.1	writeable	0.6.2	normal:all	true
icu_locale_core	2.1.1	zerovec	0.11.5	normal:all	true
icu_normalizer	2.1.1	icu_collections	2.1.1	normal:all	true
icu_normalizer	2.1.1	icu_normalizer_data	2.1.1	normal:all	true
icu_normalizer	2.1.1	icu_properties	2.1.2	normal:all	false
icu_normalizer	2.1.1	icu_provider	2.1.1	normal:all	true
icu_normalizer	2.1.1	smallvec	1.15.1	normal:all	true
icu_normalizer	2.1.1	zerovec	0.11.5	normal:all	true
icu_properties	2.1.2	icu_collections	2.1.1	normal:all	true
icu_properties	2.1.2	icu_locale_core	2.1.1	normal:all	true
icu_properties	2.1.2	icu_properties_data	2.1.2	normal:all	true
icu_properties	2.1.2	icu_provider	2.1.1	normal:all	true
icu_properties	2.1.2	zerotrie	0.2.3	normal:all	true
icu_properties	2.1.2	zerovec	0.11.5	normal:all	true
icu_provider	2.1.1	displaydoc	0.2.5	normal:all	true
icu_provider	2.1.1	icu_locale_core	2.1.1	normal:all	true
icu_provider	2.1.1	writeable	0.6.2	normal:all	true
icu_provider	2.1.1	yoke	0.8.1	normal:all	true
icu_provider	2.1.1	zerofrom	0.1.6	normal:all	true
icu_provider	2.1.1	zerotrie	0.2.3	normal:all	true
icu_provider	2.1.1	zerovec	0.11.5	normal:all	true
idna	1.1.0	idna_adapter	1.2.1	normal:all	true
idna	1.1.0	smallvec	1.15.1	normal:all	true
idna	1.1.0	utf8_iter	1.0.4	normal:all	true
idna_adapter	1.2.1	icu_normalizer	2.1.1	normal:all	true
idna_adapter	1.2.1	icu_properties	2.1.2	normal:all	true
indexmap	1.9.3	autocfg	1.5.0	build:all	false
indexmap	1.9.3	hashbrown	0.12.3	normal:all	false
indexmap	1.9.3	serde	1.0.228	normal:all	false
indexmap	2.14.0	equivalent	1.0.2	normal:all	true
indexmap	2.14.0	hashbrown	0.17.1	normal:all	true
indexmap	2.14.0	serde	1.0.228	normal:cfg(any())	true
indexmap	2.14.0	serde_core	1.0.228	normal:all	true
inout	0.1.4	generic-array	0.14.7	normal:all	true
insta	1.46.3	console	0.15.11	normal:all	true
insta	1.46.3	once_cell	1.21.3	normal:all	true
insta	1.46.3	serde	1.0.228	normal:all	true
insta	1.46.3	similar	2.7.0	normal:all	true
insta	1.46.3	tempfile	3.27.0	normal:all	true
io-extras	0.18.4	io-lifetimes	2.0.4	normal:all	true
io-extras	0.18.4	windows-sys	0.59.0	normal:cfg(windows)	true
ipnetwork	0.20.0	serde	1.0.228	normal:all	true
iri-string	0.7.10	memchr	2.8.0	normal:all	false
iri-string	0.7.10	serde	1.0.228	normal:all	false
is-terminal	0.4.17	hermit-abi	0.5.2	"normal:cfg(target_os = ""hermit"")"	true
is-terminal	0.4.17	libc	0.2.186	"normal:cfg(any(unix, target_os = ""wasi""))"	true
is-terminal	0.4.17	windows-sys	0.61.2	normal:cfg(windows)	true
itertools	0.10.5	either	1.15.0	normal:all	true
itertools	0.13.0	either	1.15.0	normal:all	true
itertools	0.14.0	either	1.15.0	normal:all	true
ittapi	0.4.0	anyhow	1.0.103	normal:all	true
ittapi	0.4.0	ittapi-sys	0.4.0	normal:all	true
ittapi	0.4.0	log	0.4.29	normal:all	true
ittapi-sys	0.4.0	cc	1.2.56	build:all	true
jni	0.21.1	cesu8	1.1.0	normal:all	true
jni	0.21.1	cfg-if	1.0.4	normal:all	true
jni	0.21.1	combine	4.6.7	normal:all	true
jni	0.21.1	jni-sys	0.3.0	normal:all	true
jni	0.21.1	log	0.4.29	normal:all	true
jni	0.21.1	thiserror	1.0.69	normal:all	true
jni	0.21.1	walkdir	2.5.0	build:all	true
jni	0.21.1	windows-sys	0.45.0	normal:cfg(windows)	true
jobserver	0.1.34	getrandom	0.3.4	normal:cfg(windows)	true
jobserver	0.1.34	libc	0.2.186	normal:cfg(unix)	true
js-sys	0.3.90	once_cell	1.21.3	normal:all	true
js-sys	0.3.90	wasm-bindgen	0.2.113	normal:all	true
json5	0.4.1	pest	2.8.6	normal:all	true
json5	0.4.1	pest_derive	2.8.6	normal:all	true
json5	0.4.1	serde	1.0.228	normal:all	true
