name	version	source	primary_reachability	reachable_in_roots	root_tiers	also_dev	also_foreign_target
bevy_reflect	0.18.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_reflect_derive	0.18.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_tasks	0.18.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_utils	0.18.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bincode	2.0.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bincode_derive	2.0.1	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bitflags	2.11.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
blake3	1.8.3	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia	A,B	false	false
block-buffer	0.10.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun	A,C	false	false
bolero	0.13.4	registry	dev-bench-only			true	false
bolero-afl	0.13.0	registry	target-only			false	true
bolero-engine	0.13.4	registry	dev-bench-only			true	true
bolero-generator	0.13.5	registry	dev-bench-only			true	true
bolero-generator-derive	0.13.4	registry	dev-bench-only			true	true
bolero-honggfuzz	0.13.0	registry	target-only			false	true
bolero-kani	0.13.0	registry	target-only			false	true
bolero-libfuzzer	0.13.0	registry	target-only			false	true
bumpalo	3.20.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
bytemuck	1.25.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bytemuck_derive	1.10.2	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
byteorder	1.5.0	registry	release-normal	sentinel-daemon	A	false	true
bytes	1.11.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
cap-fs-ext	3.4.5	registry	release-normal	sentinel-daemon	A	false	false
cap-net-ext	3.4.5	registry	release-normal	sentinel-daemon	A	false	false
cap-primitives	3.4.5	registry	release-normal	sentinel-daemon	A	false	false
cap-std	3.4.5	registry	release-normal	sentinel-daemon	A	false	false
cap-time-ext	3.4.5	registry	release-normal	sentinel-daemon	A	false	false
cast	0.3.0	registry	dev-bench-only			true	false
cc	1.2.56	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
cesu8	1.1.0	registry	target-only			false	true
cfg-if	1.0.4	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
cfg_aliases	0.2.1	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend	A,B	false	false
chacha20	0.10.0	registry	release-normal	sentinel-daemon	A	false	false
chrono	0.4.44	registry	release-normal	sentinel-daemon	A	false	false
ciborium	0.2.2	registry	dev-bench-only			true	false
ciborium-io	0.2.2	registry	dev-bench-only			true	false
ciborium-ll	0.2.2	registry	dev-bench-only			true	false
cipher	0.4.4	registry	release-normal	sentinel-daemon	A	false	false
clap	4.5.60	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
clap_builder	4.5.60	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
clap_derive	4.5.55	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
clap_lex	1.0.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
cmake	0.1.58	registry	release-build	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
cobs	0.3.0	registry	release-normal	sentinel-daemon	A	false	false
colorchoice	1.0.4	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
combine	4.6.7	registry	target-only			false	true
