name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
pnet_datalink	0.35.0	registry	true	true	true	false	false
pnet_sys	0.35.0	registry	true	true	true	false	false
portable-atomic	1.13.1	registry	true	true	true	false	true
portable-atomic-util	0.2.5	registry	false	false	true	false	true
postcard	1.1.3	registry	true	true	true	false	false
potential_utf	0.1.4	registry	true	true	true	false	false
powerfmt	0.2.0	registry	true	true	true	false	false
ppv-lite86	0.2.21	registry	true	true	true	true	true
pretty-hex	0.4.1	registry	false	true	true	true	true
prettyplease	0.2.37	registry	false	false	false	false	false
proc-macro-crate	2.0.2	registry	true	true	true	true	true
proc-macro2	1.0.106	registry	true	true	true	true	true
pulley-interpreter	45.0.3	registry	true	true	true	false	false
pulley-macros	45.0.3	registry	true	true	true	false	false
quinn	0.11.9	registry	true	true	true	false	false
quinn-proto	0.11.15	registry	true	true	true	false	false
quinn-udp	0.5.14	registry	true	true	true	false	false
quote	1.0.44	registry	true	true	true	true	true
r-efi	5.3.0	registry	false	false	true	false	true
rand	0.10.1	registry	true	true	true	false	false
rand	0.8.6	registry	true	true	true	false	false
rand	0.9.4	registry	true	true	true	true	true
rand_chacha	0.3.1	registry	true	true	true	false	false
rand_chacha	0.9.0	registry	true	true	true	true	true
rand_core	0.10.1	registry	true	true	true	true	true
rand_core	0.6.4	registry	true	true	true	false	false
rand_core	0.9.5	registry	true	true	true	true	true
rand_xoshiro	0.7.0	registry	false	true	true	true	true
rayon	1.11.0	registry	true	true	true	true	false
rayon-core	1.13.0	registry	true	true	true	true	false
rcgen	0.13.2	registry	true	true	true	false	false
redb	3.1.1	registry	true	true	true	false	false
redox_syscall	0.5.18	registry	false	false	true	false	true
redox_users	0.4.6	registry	false	false	true	false	true
redox_users	0.5.2	registry	false	false	true	false	true
ref-cast	1.0.25	registry	true	true	true	false	false
ref-cast-impl	1.0.25	registry	true	true	true	false	false
regalloc2	0.15.1	registry	true	true	true	false	false
regex	1.12.3	registry	true	true	true	true	false
regex-automata	0.4.14	registry	true	true	true	true	false
regex-syntax	0.8.10	registry	true	true	true	true	false
reqwest	0.12.28	registry	true	true	true	false	false
ring	0.17.14	registry	true	true	true	false	false
ringbuffer-spsc	0.1.15	registry	true	true	true	false	false
rmp	0.8.15	registry	true	true	true	false	false
rmp-serde	1.3.1	registry	true	true	true	false	false
ron	0.12.0	registry	true	true	true	false	false
rsa	0.9.10	registry	true	true	true	false	false
rsqlite-vfs	0.1.0	registry	false	false	true	false	true
rusqlite	0.38.0	registry	true	true	true	true	false
rustc-demangle	0.1.27	registry	true	true	true	false	false
rustc-hash	2.1.1	registry	true	true	true	false	false
rustc_version	0.4.1	registry	true	true	true	false	false
rusticata-macros	4.1.0	registry	true	true	true	false	false
rustix	1.1.4	registry	true	true	true	true	false
rustix-linux-procfs	0.1.1	registry	true	true	true	false	false
rustls	0.23.37	registry	true	true	true	false	false
rustls-native-certs	0.8.3	registry	true	true	true	false	false
rustls-pemfile	2.2.0	registry	true	true	true	false	false
rustls-pki-types	1.14.0	registry	true	true	true	false	true
rustls-platform-verifier	0.6.2	registry	true	true	true	false	false
rustls-platform-verifier-android	0.1.1	registry	false	false	true	false	true
rustls-webpki	0.103.13	registry	true	true	true	false	false
rustversion	1.0.22	registry	true	true	true	false	true
ryu	1.0.23	registry	true	true	true	false	false
same-file	1.0.6	registry	false	true	true	true	true
schannel	0.1.28	registry	false	false	true	false	true
schemars	0.9.0	registry	false	false	false	false	false
schemars	1.2.1	registry	true	true	true	false	false
schemars_derive	1.2.1	registry	true	true	true	false	false
scoped-tls	1.0.1	registry	false	false	false	false	false
scopeguard	1.2.0	registry	true	true	true	true	true
secrecy	0.8.0	registry	true	true	true	false	false
security-framework	3.7.0	registry	false	false	true	false	true
security-framework-sys	2.17.0	registry	false	false	true	false	true
semver	1.0.27	registry	true	true	true	false	false
sentinel-bio	0.1.0	workspace	true	true	true	false	false
sentinel-cluster-control	0.1.0	workspace	true	true	true	false	false
sentinel-common	0.1.0	workspace	true	true	true	false	false
sentinel-console-plane	0.1.0	workspace	true	true	true	false	false
sentinel-ctl	0.1.0	workspace	true	true	true	false	false
sentinel-daemon	0.1.0	workspace	true	true	true	false	false
sentinel-dashboard-backend	0.1.0	workspace	true	true	true	false	false
sentinel-ebpf	0.1.0	workspace	true	true	true	false	false
sentinel-ecs	0.1.0	workspace	true	true	true	false	false
sentinel-fs	0.1.0	workspace	true	true	true	false	false
sentinel-gaia	0.1.0	workspace	true	true	true	false	false
sentinel-gaia-loop	0.1.0	workspace	true	true	true	false	false
sentinel-gaia-memory	0.1.0	workspace	true	true	true	false	false
sentinel-hippocampus	0.1.0	workspace	true	true	true	false	false
sentinel-limbo	0.1.0	workspace	true	true	true	false	false
sentinel-microvm	0.1.0	workspace	true	true	true	false	false
sentinel-nightrun	0.1.0	workspace	true	true	true	false	false
sentinel-physics	0.1.0	workspace	true	true	true	false	false
sentinel-projection	0.1.0	workspace	true	true	true	false	false
sentinel-projection-service	0.1.0	workspace	true	true	true	false	false
sentinel-redb	0.1.0	workspace	true	true	true	false	false
sentinel-runtime	0.1.0	workspace	true	true	true	false	false
sentinel-sandbox	0.1.0	workspace	true	true	true	false	false
sentinel-telemetry	0.1.0	workspace	true	true	true	false	false
sentinel-wasm	0.1.0	workspace	true	true	true	false	false
sentinel-zenoh	0.1.0	workspace	true	true	true	false	false
serde	1.0.228	registry	true	true	true	true	true
serde_core	1.0.228	registry	true	true	true	true	true
serde_derive	1.0.228	registry	true	true	true	true	true
serde_derive_internals	0.29.1	registry	true	true	true	false	false
serde_json	1.0.149	registry	true	true	true	true	false
serde_nanos	0.1.4	registry	true	true	true	false	false
serde_path_to_error	0.1.20	registry	true	true	true	false	false
serde_repr	0.1.20	registry	true	true	true	false	false
serde_spanned	1.0.4	registry	true	true	true	true	false
serde_urlencoded	0.7.1	registry	true	true	true	false	false
serde_with	3.17.0	registry	true	true	true	false	false
serde_with_macros	3.17.0	registry	true	true	true	false	false
serde_yaml	0.9.34+deprecated	registry	true	true	true	false	false
sha1	0.10.6	registry	true	true	true	false	false
sha2	0.10.9	registry	true	true	true	false	false
sha2-const-stable	0.1.0	registry	true	true	true	false	false
sha3	0.10.8	registry	true	true	true	false	false
sharded-slab	0.1.7	registry	true	true	true	true	false
shellexpand	3.1.2	registry	true	true	true	false	false
shlex	1.3.0	registry	true	true	true	true	true
signal-hook-registry	1.4.8	registry	true	true	true	true	false
signatory	0.27.1	registry	true	true	true	false	false
signature	2.2.0	registry	true	true	true	false	false
simd-adler32	0.3.8	registry	true	true	true	false	false
similar	2.7.0	registry	false	true	true	true	false
siphasher	1.0.2	registry	true	true	true	false	false
slab	0.4.12	registry	true	true	true	true	true
slotmap	1.1.1	registry	true	true	true	false	false
smallvec	1.15.1	registry	true	true	true	true	false
smol_str	0.2.2	registry	false	false	false	false	false
socket2	0.5.10	registry	true	true	true	false	false
socket2	0.6.4	registry	true	true	true	true	false
spin	0.10.1	registry	true	true	true	false	false
spin	0.9.9	registry	true	true	true	true	true
spki	0.7.3	registry	true	true	true	false	false
sqlite-wasm-rs	0.5.2	registry	false	false	true	false	true
stabby	72.1.4	registry	true	true	true	false	false
stabby-abi	72.1.4	registry	true	true	true	false	false
stabby-macros	72.1.4	registry	true	true	true	false	false
stable_deref_trait	1.2.1	registry	true	true	true	false	true
strsim	0.11.1	registry	true	true	true	true	false
subtle	2.6.1	registry	true	true	true	false	false
syn	2.0.117	registry	true	true	true	true	true
sync_wrapper	1.0.2	registry	true	true	true	true	false
synstructure	0.13.2	registry	true	true	true	false	false
target-lexicon	0.13.5	registry	true	true	true	false	false
tempfile	3.27.0	registry	true	true	true	true	false
termcolor	1.4.1	registry	true	true	true	false	false
thiserror	1.0.69	registry	true	true	true	false	true
thiserror	2.0.18	registry	true	true	true	false	true
thiserror-impl	1.0.69	registry	true	true	true	false	true
thiserror-impl	2.0.18	registry	true	true	true	false	true
thread_local	1.1.9	registry	true	true	true	true	false
time	0.3.47	registry	true	true	true	false	false
time-core	0.1.8	registry	true	true	true	false	false
time-macros	0.2.27	registry	true	true	true	false	false
tinystr	0.8.2	registry	true	true	true	false	false
tinytemplate	1.2.1	registry	false	true	true	true	false
tinyvec	1.10.0	registry	true	true	true	false	false
tinyvec_macros	0.1.1	registry	true	true	true	false	false
tls-listener	0.11.2	registry	true	true	true	false	false
token-cell	2.1.1	registry	true	true	true	false	false
tokio	1.52.3	registry	true	true	true	true	false
tokio-macros	2.7.0	registry	true	true	true	true	false
tokio-rustls	0.26.4	registry	true	true	true	false	false
tokio-stream	0.1.18	registry	true	true	true	false	false
tokio-tungstenite	0.24.0	registry	true	true	true	false	false
tokio-util	0.7.18	registry	true	true	true	false	false
tokio-websockets	0.10.1	registry	true	true	true	false	false
toml	0.9.12+spec-1.1.0	registry	true	true	true	false	false
toml	1.0.6+spec-1.1.0	registry	true	true	true	true	false
toml_datetime	0.6.3	registry	true	true	true	true	true
toml_datetime	0.7.5+spec-1.1.0	registry	true	true	true	false	false
toml_datetime	1.0.0+spec-1.1.0	registry	true	true	true	true	false
toml_edit	0.20.2	registry	true	true	true	true	true
toml_edit	0.23.10+spec-1.0.0	registry	true	true	true	false	false
toml_parser	1.0.9+spec-1.1.0	registry	true	true	true	true	false
toml_writer	1.0.6+spec-1.1.0	registry	true	true	true	true	false
tower	0.5.3	registry	true	true	true	true	false
tower-http	0.6.8	registry	true	true	true	false	false
